カテゴリ,表記名,税込金額(円),単位,種別,備考
1.検査診断,精密検査代,33000,式,fixed,
2.手術,1次手術,44000,式,fixed,フィクスチャー埋入
2.手術,2次手術,33000,式,fixed,
3.フィクスチャー,フィクスチャー: ライト,55000,本,per_unit,
3.フィクスチャー,フィクスチャー: スタンダード,110000,本,per_unit,
3.フィクスチャー,フィクスチャー: プレミアム,162800,本,per_unit,
4.アバットメント,スタンダードアバットメント,33000,個,per_unit,
4.アバットメント,マルチアバットメント,77000,個,per_unit,
4.アバットメント,カスタムアバットメント,83600,個,per_unit,
5.上部構造,暫間上部構造,66000,本,per_unit,
5.上部構造,最終上部構造 PMMA,66000,本,per_unit,
5.上部構造,最終上部構造 ジルコニア,121000,本,per_unit,
5.上部構造,最終上部構造 ジルコニアセラミック,143000,本,per_unit,
6.オプション,ガイデッドサージェリー,77000,式,fixed,
6.オプション,静脈内鎮静法 (1.5H以内),88000,式,radio_sedation,1つ選択
6.オプション,静脈内鎮静法 (1.5H以上),110000,式,radio_sedation,1つ選択
7.外科オプション,GBR (骨造成),176000,式,per_unit,
7.外科オプション,サイナスリフト,308000,式,per_unit,
7.外科オプション,FGG / CTG (歯肉移植),55000,式,per_unit,
7.外科オプション,追加骨補填剤,44000,個,per_unit,
7.外科オプション,追加メンブレン,44000,個,per_unit,
8.保証,２年保証（スタンダード・プレミアム選択）,0,個,radio_warranty,排他選択(任意)
8.保証,１０年保証（条件あり）,33000,本,per_unit,本数分を数量に入力
9.割引,割引（100円単位）,-100,単位,per_unit,数量欄に単位数を入力(例:300→▲3万円)
