区分,項目,単価,備考
補綴・インレー,ワンデーセラミックインレー（スタンダード）,82800,
補綴・インレー,セラミックインレー（スタンダード）,62800,
補綴・インレー,セラミックインレー（エキスパート）,75800,
補綴・インレー,ジルコニアインレー（スタンダード）,79800,
補綴・インレー,ジルコニアインレー（エキスパート）,82800,
補綴・インレー,CADCAMインレー,保険適応,保険適応
補綴・インレー,ゴールドインレー,99800,
補綴・インレー,防湿処置加算,10000,
補綴・インレー,ファイバーコア,20000,
補綴・クラウン,ジルコニアクラウン（スタンダード）,124800,
補綴・クラウン,ジルコニアクラウン(エキスパート）,134800,
補綴・クラウン,ワンデーセラミッククラウン（スタンダード）,124800,
補綴・クラウン,セラミッククラウン（スタンダード）,114800,
補綴・クラウン,セラミッククラウン（エキスパート）,129800,
補綴・クラウン,CADCAMクラウン,保険適応,保険適応
補綴・クラウン,ゴールドクラウン,189800,
TEK,TEK院内（スタンダード）,5500,
TEK,TEK院内（エキスパート）,7700,
TEK,TEKメタル入り,11000,
インプラント,インプラント(プレミアム),600000,2年保証
インプラント,インプラント(スタンダード 前歯),550000,2年保証
インプラント,インプラント(スタンダード 奥歯),500000,2年保証
インプラント,インプラント(シンプル) ,450000,2年保証
インプラント,前歯クラウン,204000,
インプラント,奥歯クラウン,154000,
インプラント,2次外科,33000,
インプラント,CT検査,33000,手術費込
インプラント,分析・診断,33000,手術費込
インプラント,インプラントガイド製作費,33000,手術費込
インプラント,サイナスリフト,220000,材料費別途
インプラント,ソケットリフト,110000,材料費別途
インプラント,GBR,88000,材料費別途
インプラント,メンブレン,66000,"44,000〜88,000の中央値"
インプラント,骨補填剤,66000,"44,000〜88,000の中央値"
インプラント,セデーション,99000,"88,000〜110,000の中央値"
インプラント,ブロック骨移植,275000,
インプラント,CTG・FGG,66000,
インプラント,骨誘導剤,33000,
インプラント,ソケットプリザベーション,99000,
インプラント,10年保証,33000,1本につき（本数分を数量に入力）
エンド,歯周再生療法,99000,
エンド,精密根管治療（大臼歯）,143000,
エンド,精密根管治療（小臼歯）,121000,
エンド,精密根管治療（前歯）,100000,
エンド,外科的根管治療（大臼歯）,165000,
エンド,外科的根管治療（小臼歯）,143000,
エンド,外科的根管治療（前歯）,121000,
ホワイトニング,ホームホワイトニング,3300,
ホワイトニング,ホームホワイトニング初回セット,22000,
ホワイトニング,エアフロー,3300,
矯正,相談,0,無料
矯正,矯正 検査・診断,33000,
矯正,表側矯正前歯（メタルワイヤー）,330000,
矯正,表側矯正片側（メタルワイヤー）,450000,
矯正,表側矯正上下（メタルワイヤー）,880000,
矯正,表側矯正上下（ホワイトワイヤー）,950000,
矯正,小児矯正,350000,"110,000〜350,000の参考値"
矯正,ハーフリンガル矯正,1200000,
矯正,フルリンガル矯正,1400000,
矯正,インビザラインライト（片側）,330000,
矯正,インビザラインライト（上下）,550000,
矯正,インビザラインミドル,750000,
矯正,インビザラインフル,880000,
矯正,便宜抜歯（矯正）,5500,
矯正,インプラントアンカー,22000,
矯正,ワイヤー加算（マウスピース矯正併用）,110000,
矯正,管理料,5500,
矯正,加速装置,110000,
矯正,デンタルモニタリング,77000,
保定装置,リテーナー フィックス,11000,他院治療からの作成
保定装置,マウスピース（片顎）,4400,他院治療からの作成
保定装置,ベックタイプ（片顎）,33000,他院治療からの作成
保定装置,他院ブラケット除去（検査）,5500,他院許可証必要
保定装置,他院ブラケット除去（リムーブ）,22000,他院許可証必要
矯正,紹介状作成料,3300,
その他,ダイレクトボンディング,66000,
その他,2回目以降,3300,
その他,ボトックス,35000,
その他,歯牙移植,110000,補綴別途
その他,テルプラグ,11000,
その他,直接覆髄,11000,
その他,エクストリュージョン,66000,
その他,クラウンレングスニング,66000,
割引,割引,-33000,
割引,友人治療費（割引）,-100000,
割引,割引（都度入力）,0,単価欄に金額を直接入力（マイナスで入力）
設定,デンタルローン年率,3.9,%表示。金利改定時はこの数値のみ変更
